,cell_count
0,1140
1,1140
2,1140
3,1140
4,1140
5,1140
6,1140
7,1140
8,1140
9,1140
10,1160
11,1205
12,1217
13,1229
14,1239
15,1250
16,1261
17,1265
18,1271
19,1274
20,1304
21,1335
22,1392
23,1410
24,1440
25,1460
26,1477
27,1497
28,1510
29,1520
30,1564
31,1607
32,1658
33,1745
34,1776
35,1812
36,1851
37,1892
38,1919
39,1940
40,1991
41,2053
42,2108
43,2188
44,2296
45,2324
46,2372
47,2427
48,2475
49,2499
50,2566
51,2624
52,2683
53,2689
54,2859
55,2817
56,2998
57,2985
58,3040
59,3059
60,3099
61,3161
62,3215
63,3221
64,3300
65,3404
66,3458
67,3496
68,3524
69,3538
70,3575
71,3599
72,3545
73,3705
74,3654
75,3710
76,3751
77,3748
78,3843
79,3901
80,3982
81,3931
82,3961
83,3967
84,3910
85,4046
86,3993
87,3867
88,4020
89,3922
90,4117
91,4107
92,4389
93,4100
94,4115
95,4163
96,4196
97,4117
98,4258
99,4275
100,4284
101,4331
102,4357
103,4372
104,4338
105,4368
106,4352
107,4428
108,4329
109,4511
110,4315
111,4541
112,4429
113,4329
114,4410
115,4316
116,4483
117,4489
118,4434
119,4445
120,4407
121,4385
122,4334
123,4459
124,4547
125,4451
126,4814
127,4535
128,4533
129,4462
130,4484
131,4628
132,4459
133,4473
134,4449
135,4512
136,4667
137,4453
138,4562
139,4520
140,4599
141,4530
142,4687
143,4472
144,4609
145,4463
146,4464
147,4552
148,4519
149,4459
150,4520
151,4721
152,4514
153,4516
154,4591
155,4690
156,4484
157,4647
158,4447
159,4643
160,4569
161,4688
162,4629
163,4572
164,4541
165,4559
166,4652
167,4577
168,4636
169,4482
170,4514
171,4696
172,4603
173,4476
174,4537
175,4581
176,4765
177,4512
178,4513
179,4797
180,4740
181,4682
182,4713
183,4774
184,4621
185,4589
186,4673
187,4716
188,4720
189,4752
190,4716
191,4799
192,4745
193,4644
194,4602
195,4640
196,4715
197,4567
198,4855
199,4638
200,4655
201,4595
202,4948
203,4761
204,4795
205,4667
206,4578
207,4724
208,4624
209,4543
210,4655
211,4606
212,4630
213,4749
214,4692
215,4664
216,4970
217,4722
218,4685
219,4679
220,4599
221,4875
222,4615
223,4879
224,4925
225,4808
226,4718
227,4825
228,4622
229,4743
230,4635
231,4783
232,4941
233,4705
234,4874
235,4680
236,4880
237,4684
238,4940
239,4725
240,4708
241,4733
242,4694
243,4799
244,4751
245,4630
246,4579
247,4967
248,4796
249,4766
250,4760
251,4801
252,4751
253,4643
254,4740
255,4757
256,4787
257,4629
258,4735
259,4711
260,4679
261,4761
262,4796
263,4632
264,4667
265,4693
266,4746
267,4769
268,4818
269,4842
270,4735
271,4878
272,4859
273,4749
274,4762
275,4640
276,4973
277,4649
278,4750
279,4757
280,4846
281,5139
282,4773
283,4785
284,4835
285,4791
286,4802
287,4712
288,4699
289,4664
290,4966
291,4743
292,4756
293,4844
294,4766
295,4893
296,4685
297,4775
298,4960
299,4751
300,4679
301,5038
302,4705
303,4729
304,4856
305,4756
306,4836
307,5114
308,4865
309,4703
310,4815
311,4740
312,4938
313,4816
314,4733
315,4955
316,4738
317,4702
318,4700
319,4739
320,4720
321,4913
322,4782
323,4724
324,4843
325,4828
326,4941
327,4763
328,4849
329,4983
330,4767
331,4651
332,4926
333,5057
334,4754
335,4846
336,4797
