,cell_count
0,1135
1,1135
2,1135
3,1135
4,1135
5,1135
6,1135
7,1135
8,1135
9,1135
10,1135
11,1135
12,1199
13,1205
14,1212
15,1216
16,1224
17,1230
18,1233
19,1240
20,1246
21,1250
22,1256
23,1264
24,1360
25,1373
26,1386
27,1401
28,1419
29,1433
30,1440
31,1451
32,1465
33,1476
34,1483
35,1501
36,1664
37,1690
38,1709
39,1738
40,1770
41,1793
42,1811
43,1829
44,1849
45,1871
46,1892
47,1924
48,2182
49,2194
50,2226
51,2270
52,2326
53,2338
54,2367
55,2390
56,2422
57,2452
58,2464
59,2505
60,2637
61,2760
62,2697
63,2967
64,2905
65,2918
66,2931
67,2953
68,2996
69,3015
70,3012
71,3063
72,3172
73,3289
74,3480
75,3454
76,3603
77,3494
78,3516
79,3434
80,3503
81,3531
82,3507
83,3541
84,3681
85,3755
86,3795
87,3900
88,3761
89,3735
90,3838
91,3851
92,3768
93,3878
94,3799
95,3871
96,4102
97,3908
98,4096
99,4225
100,4105
101,4068
102,4038
103,4026
104,4042
105,3983
106,4087
107,4107
108,4163
109,4344
110,4274
111,4175
112,4219
113,4439
114,4209
115,4207
116,4204
117,4209
118,4198
119,4235
120,4381
121,4234
122,4413
123,4336
124,4346
125,4374
126,4421
127,4351
128,4292
129,4297
130,4331
131,4381
132,4430
133,4324
134,4621
135,4501
136,4446
137,4425
138,4507
139,4530
140,4386
141,4424
142,4373
143,4581
144,4460
145,4587
146,4423
147,4549
148,4591
149,4464
150,4608
151,4570
152,4703
153,4570
154,4532
155,4589
156,4571
157,4583
158,4575
159,4505
160,4484
161,4453
162,4521
163,4424
164,4670
165,4502
166,4468
167,4611
168,4707
169,4608
170,4703
171,4732
172,4607
173,4531
174,4804
175,4569
176,4662
177,4672
178,4558
179,4669
180,4531
181,4790
182,4679
183,4628
184,4532
185,4598
186,4496
187,4841
188,4514
189,4518
190,4727
191,4671
192,4639
193,4639
194,4753
195,4666
196,4632
197,4661
198,4547
199,4706
200,4680
201,4605
202,4660
203,4589
204,4920
205,4598
206,4608
207,4669
208,4706
209,4570
210,4655
211,4822
212,4611
213,4625
214,4874
215,4758
216,4616
217,4814
218,4637
219,4749
220,4627
221,4791
222,4854
223,4770
224,4652
225,4848
226,4745
227,4660
228,4765
229,4579
230,4603
231,4593
232,4738
233,4680
234,4844
235,4816
236,4797
237,4690
238,4652
239,4782
240,4588
241,4704
242,4660
243,5088
244,4744
245,4880
246,4710
247,4864
248,4732
249,4631
250,4872
251,4711
252,4774
253,4767
254,4750
255,4773
256,4699
257,4696
258,5052
259,4783
260,4708
261,4706
262,4773
263,4711
264,4756
265,4814
266,4807
267,4685
268,4749
269,4905
270,4822
271,4809
272,4879
273,4710
274,4796
275,4803
276,4844
277,4863
278,4740
279,4882
280,4848
281,4731
282,4795
283,4711
284,4922
285,4770
286,4792
287,4901
288,4680
289,4810
290,4933
291,4797
292,4918
293,4829
294,4957
295,4776
296,4786
297,4817
298,4919
299,4933
300,4758
301,4804
302,4842
303,4733
304,4665
305,4764
306,4668
307,4637
308,4832
309,5025
310,4757
311,4722
312,4895
313,4809
314,4925
315,4902
316,4820
317,4804
318,4798
319,4741
320,4839
321,4711
322,4770
323,4850
324,4712
325,4813
326,5022
327,4705
328,5035
329,4721
330,4614
331,4792
332,4702
333,4910
334,4756
335,4789
336,4743
