,cell_count
0,1150
1,1150
2,1177
3,1209
4,1251
5,1303
6,1353
7,1408
8,1462
9,1522
10,1582
11,1643
12,1704
13,1768
14,1839
15,1927
16,2051
17,2177
18,2313
19,2450
20,2559
21,2672
22,2806
23,2922
24,3014
25,3094
26,3157
27,3244
28,3306
29,3410
30,3516
31,3614
32,3667
33,3745
34,3755
35,3860
36,3985
37,4014
38,4034
39,4078
40,4156
41,4235
42,4248
43,4277
44,4349
45,4327
46,4467
47,4458
48,4420
49,4513
50,4554
51,4618
52,4618
53,4628
54,4694
55,4666
56,4732
57,4767
58,4746
59,4779
60,4835
61,4843
62,4797
63,4781
64,4814
65,4834
66,4850
67,4839
68,4854
69,4858
70,4910
71,4898
72,4879
73,4897
74,4948
75,4990
76,4933
77,4973
78,4892
79,4962
80,5015
81,5009
